freq,psd_x,psd_y,psd_z,psd_xyz
136.0,9.566e+02,2.303e+03,1.403e+03,4.663e+03
137.5,9.367e+02,2.112e+03,1.612e+03,4.661e+03
139.0,1.352e+03,2.206e+03,1.699e+03,5.257e+03
140.5,1.191e+03,3.040e+03,1.441e+03,5.672e+03
141.9,1.369e+03,4.263e+03,1.199e+03,6.831e+03
143.4,1.360e+03,4.827e+03,1.307e+03,7.494e+03
144.9,1.329e+03,5.149e+03,1.493e+03,7.971e+03
146.4,1.213e+03,5.723e+03,1.802e+03,8.737e+03
147.9,9.288e+02,5.903e+03,1.530e+03,8.362e+03
149.4,4.894e+02,5.553e+03,8.240e+02,6.866e+03
150.9,3.203e+02,4.967e+03,6.666e+02,5.954e+03
152.4,3.384e+02,3.653e+03,8.828e+02,4.874e+03
153.9,3.813e+02,2.946e+03,9.729e+02,4.301e+03
155.4,4.164e+02,2.529e+03,9.618e+02,3.907e+03
156.9,4.318e+02,2.455e+03,9.213e+02,3.808e+03
158.4,4.107e+02,2.618e+03,9.036e+02,3.933e+03
159.9,3.871e+02,2.731e+03,9.398e+02,4.058e+03
161.4,4.474e+02,2.853e+03,1.068e+03,4.368e+03
162.9,4.678e+02,2.703e+03,1.379e+03,4.549e+03
164.4,4.743e+02,2.468e+03,1.724e+03,4.667e+03
165.9,5.552e+02,2.588e+03,1.783e+03,4.927e+03
167.3,6.089e+02,2.688e+03,1.559e+03,4.856e+03
168.8,6.790e+02,2.646e+03,1.747e+03,5.073e+03
170.3,6.638e+02,2.781e+03,1.919e+03,5.364e+03
171.8,8.233e+02,3.250e+03,2.187e+03,6.260e+03
173.3,1.424e+03,3.729e+03,2.093e+03,7.246e+03
174.8,1.536e+03,3.999e+03,2.220e+03,7.755e+03
176.3,1.811e+03,4.089e+03,2.249e+03,8.148e+03
177.8,1.918e+03,4.500e+03,2.368e+03,8.786e+03
179.3,2.350e+03,4.414e+03,2.820e+03,9.584e+03
180.8,2.254e+03,3.804e+03,2.997e+03,9.055e+03
182.3,3.243e+03,3.512e+03,3.671e+03,1.043e+04
183.8,3.656e+03,3.760e+03,4.147e+03,1.156e+04
185.3,2.994e+03,4.204e+03,3.934e+03,1.113e+04
186.8,3.556e+03,4.486e+03,4.426e+03,1.247e+04
188.3,4.212e+03,4.209e+03,4.950e+03,1.337e+04
189.8,4.357e+03,4.343e+03,4.450e+03,1.315e+04
191.3,3.909e+03,4.215e+03,3.754e+03,1.188e+04
192.8,3.897e+03,3.671e+03,3.582e+03,1.115e+04
194.2,3.864e+03,3.277e+03,3.734e+03,1.088e+04
195.7,2.958e+03,3.009e+03,3.191e+03,9.158e+03
197.2,2.042e+03,3.093e+03,2.310e+03,7.445e+03
198.7,1.462e+03,2.838e+03,1.584e+03,5.883e+03
