freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.488e+02,2.955e+02,1.056e+01,6.548e+02
1.5,8.906e+02,2.162e+02,3.158e+01,1.138e+03
3.1,1.096e+03,5.858e+01,3.538e+01,1.190e+03
4.6,1.475e+03,3.468e+02,3.924e+01,1.861e+03
6.1,1.509e+03,1.290e+03,3.815e+01,2.837e+03
7.7,9.829e+02,1.986e+03,4.535e+01,3.014e+03
9.2,9.484e+02,2.732e+03,4.128e+01,3.722e+03
10.7,9.358e+02,3.774e+03,4.000e+01,4.749e+03
12.2,1.392e+03,5.116e+03,4.884e+01,6.556e+03
13.8,1.571e+03,6.734e+03,5.496e+01,8.361e+03
15.3,1.774e+03,8.986e+03,5.912e+01,1.082e+04
16.8,1.823e+03,1.195e+04,6.022e+01,1.383e+04
18.4,2.010e+03,1.502e+04,5.357e+01,1.708e+04
19.9,3.094e+03,1.840e+04,5.707e+01,2.156e+04
21.4,2.101e+03,2.282e+04,6.080e+01,2.498e+04
23.0,1.745e+03,2.809e+04,1.156e+02,2.995e+04
24.5,1.909e+03,3.362e+04,1.880e+02,3.572e+04
26.0,1.754e+03,4.073e+04,2.177e+02,4.270e+04
27.5,1.746e+03,4.981e+04,3.578e+02,5.191e+04
29.1,1.622e+03,5.693e+04,5.908e+02,5.914e+04
30.6,1.880e+03,6.014e+04,6.147e+02,6.263e+04
32.1,1.912e+03,6.529e+04,4.670e+02,6.766e+04
33.7,1.623e+03,7.739e+04,4.228e+02,7.943e+04
35.2,1.208e+03,1.014e+05,5.455e+02,1.031e+05
36.7,1.642e+03,1.425e+05,1.460e+03,1.456e+05
38.3,3.266e+03,2.054e+05,3.717e+03,2.124e+05
39.8,8.872e+03,2.946e+05,4.397e+03,3.079e+05
41.3,4.825e+04,5.629e+05,6.190e+03,6.174e+05
42.8,1.476e+05,7.357e+05,6.693e+03,8.900e+05
44.4,2.003e+05,5.839e+05,3.383e+03,7.876e+05
45.9,2.224e+05,4.462e+05,1.879e+03,6.705e+05
47.4,2.132e+05,3.867e+05,2.355e+03,6.023e+05
49.0,1.950e+05,3.759e+05,4.833e+03,5.757e+05
50.5,2.132e+05,3.533e+05,6.620e+03,5.731e+05
52.0,2.967e+05,2.985e+05,7.022e+03,6.022e+05
53.6,3.963e+05,2.568e+05,7.899e+03,6.610e+05
55.1,3.898e+05,2.140e+05,4.178e+03,6.080e+05
56.6,3.171e+05,1.788e+05,2.999e+03,4.990e+05
58.1,2.911e+05,1.508e+05,3.907e+03,4.458e+05
59.7,2.873e+05,1.249e+05,2.338e+03,4.146e+05
61.2,2.484e+05,1.256e+05,2.476e+03,3.765e+05
62.7,2.003e+05,1.375e+05,2.874e+03,3.407e+05
64.3,1.667e+05,1.436e+05,1.620e+03,3.119e+05
65.8,1.509e+05,1.366e+05,1.688e+03,2.891e+05
67.3,1.263e+05,1.314e+05,2.153e+03,2.599e+05
68.9,1.022e+05,1.223e+05,2.569e+03,2.271e+05
70.4,9.717e+04,1.126e+05,2.534e+03,2.123e+05
71.9,1.017e+05,1.018e+05,2.067e+03,2.056e+05
73.4,1.053e+05,8.742e+04,2.010e+03,1.947e+05
75.0,1.032e+05,7.507e+04,2.015e+03,1.803e+05
76.5,9.979e+04,6.084e+04,1.946e+03,1.626e+05
78.0,9.288e+04,4.949e+04,2.198e+03,1.446e+05
79.6,8.742e+04,4.133e+04,2.552e+03,1.313e+05
81.1,8.070e+04,3.331e+04,2.137e+03,1.162e+05
82.6,7.410e+04,2.932e+04,1.304e+03,1.047e+05
84.2,7.819e+04,3.795e+04,7.389e+02,1.169e+05
85.7,8.446e+04,4.805e+04,7.778e+02,1.333e+05
87.2,8.487e+04,4.891e+04,1.702e+03,1.355e+05
88.8,8.112e+04,4.720e+04,4.174e+03,1.325e+05
90.3,7.864e+04,4.386e+04,7.609e+03,1.301e+05
91.8,7.809e+04,4.278e+04,1.081e+04,1.317e+05
93.3,7.832e+04,4.279e+04,1.277e+04,1.339e+05
94.9,7.555e+04,4.306e+04,1.331e+04,1.319e+05
96.4,7.842e+04,4.653e+04,1.245e+04,1.374e+05
97.9,7.096e+04,4.949e+04,1.117e+04,1.316e+05
99.5,6.055e+04,5.452e+04,1.058e+04,1.256e+05
101.0,5.158e+04,6.022e+04,1.044e+04,1.222e+05
102.5,4.527e+04,6.399e+04,8.245e+03,1.175e+05
104.1,3.977e+04,5.974e+04,5.480e+03,1.050e+05
105.6,3.792e+04,4.902e+04,4.029e+03,9.097e+04
107.1,3.948e+04,4.112e+04,3.742e+03,8.434e+04
108.6,3.922e+04,4.346e+04,3.620e+03,8.631e+04
110.2,3.522e+04,4.808e+04,2.115e+03,8.541e+04
111.7,3.417e+04,4.665e+04,8.942e+02,8.172e+04
113.2,3.439e+04,4.150e+04,1.176e+03,7.707e+04
114.8,3.454e+04,3.980e+04,2.311e+03,7.665e+04
116.3,3.567e+04,4.474e+04,3.630e+03,8.403e+04
117.8,3.595e+04,5.035e+04,4.990e+03,9.128e+04
119.4,3.427e+04,5.030e+04,6.047e+03,9.061e+04
120.9,3.238e+04,4.728e+04,7.116e+03,8.678e+04
122.4,3.038e+04,4.047e+04,8.270e+03,7.912e+04
123.9,2.770e+04,3.554e+04,8.199e+03,7.143e+04
125.5,2.487e+04,3.133e+04,7.545e+03,6.375e+04
127.0,2.317e+04,2.710e+04,7.263e+03,5.753e+04
128.5,2.065e+04,2.418e+04,6.434e+03,5.126e+04
130.1,1.877e+04,2.322e+04,5.561e+03,4.755e+04
131.6,1.713e+04,2.221e+04,4.790e+03,4.413e+04
133.1,8.856e+03,1.113e+04,2.365e+03,2.235e+04
134.7,2.264e+03,2.098e+03,6.231e+02,4.986e+03
136.2,1.424e+03,1.627e+03,5.650e+02,3.616e+03
137.7,1.287e+03,1.813e+03,6.431e+02,3.743e+03
139.2,1.492e+03,1.871e+03,7.573e+02,4.121e+03
140.8,1.419e+03,2.320e+03,8.966e+02,4.636e+03
142.3,1.122e+03,3.104e+03,1.061e+03,5.288e+03
143.8,1.146e+03,3.465e+03,1.151e+03,5.762e+03
145.4,1.301e+03,3.107e+03,1.536e+03,5.944e+03
146.9,1.209e+03,3.665e+03,1.863e+03,6.737e+03
148.4,1.191e+03,4.689e+03,2.044e+03,7.925e+03
