freq,psd_x,psd_y,psd_z,psd_xyz
150.0,1.234e+03,6.293e+03,2.280e+03,9.807e+03
151.5,1.241e+03,6.586e+03,1.919e+03,9.746e+03
153.0,1.181e+03,5.802e+03,1.603e+03,8.586e+03
154.5,1.636e+03,4.937e+03,2.029e+03,8.602e+03
156.1,2.988e+03,3.535e+03,3.222e+03,9.746e+03
157.6,4.761e+03,2.332e+03,5.010e+03,1.210e+04
159.1,5.757e+03,1.757e+03,5.860e+03,1.337e+04
160.7,5.916e+03,1.390e+03,5.620e+03,1.293e+04
162.2,5.462e+03,1.482e+03,5.593e+03,1.254e+04
163.7,4.741e+03,2.405e+03,6.395e+03,1.354e+04
165.3,3.819e+03,3.477e+03,7.379e+03,1.467e+04
166.8,2.970e+03,4.149e+03,7.416e+03,1.453e+04
168.3,2.310e+03,6.904e+03,7.213e+03,1.643e+04
169.8,2.365e+03,1.048e+04,6.473e+03,1.931e+04
171.4,2.175e+03,9.959e+03,5.055e+03,1.719e+04
172.9,2.181e+03,1.054e+04,4.368e+03,1.709e+04
174.4,1.966e+03,1.081e+04,3.491e+03,1.627e+04
176.0,1.949e+03,1.061e+04,3.030e+03,1.559e+04
177.5,1.942e+03,9.472e+03,2.900e+03,1.431e+04
179.0,1.656e+03,8.985e+03,3.203e+03,1.384e+04
180.6,1.771e+03,8.729e+03,3.261e+03,1.376e+04
182.1,2.010e+03,8.454e+03,3.214e+03,1.368e+04
183.6,2.215e+03,6.978e+03,2.866e+03,1.206e+04
185.2,2.978e+03,6.202e+03,2.803e+03,1.198e+04
186.7,3.454e+03,5.739e+03,3.402e+03,1.260e+04
188.2,4.288e+03,4.790e+03,4.230e+03,1.331e+04
189.7,4.241e+03,3.849e+03,5.273e+03,1.336e+04
191.3,4.263e+03,3.091e+03,5.956e+03,1.331e+04
192.8,4.532e+03,3.422e+03,6.586e+03,1.454e+04
194.3,4.670e+03,3.671e+03,6.820e+03,1.516e+04
195.9,5.282e+03,3.643e+03,6.962e+03,1.589e+04
197.4,5.573e+03,3.215e+03,6.842e+03,1.563e+04
198.9,5.790e+03,3.913e+03,6.187e+03,1.589e+04
