freq,psd_x,psd_y,psd_z,psd_xyz
140.3,4.174e+03,1.811e+04,4.288e+04,6.516e+04
141.8,4.367e+03,1.860e+04,4.466e+04,6.763e+04
143.3,4.006e+03,1.821e+04,4.623e+04,6.844e+04
144.8,4.345e+03,1.881e+04,4.930e+04,7.246e+04
146.3,4.775e+03,1.916e+04,5.231e+04,7.624e+04
147.8,4.745e+03,1.916e+04,5.378e+04,7.768e+04
149.3,5.612e+03,2.077e+04,5.784e+04,8.423e+04
150.8,5.972e+03,2.259e+04,6.197e+04,9.053e+04
152.3,5.608e+03,2.376e+04,6.535e+04,9.472e+04
153.8,6.108e+03,2.598e+04,6.992e+04,1.020e+05
155.3,6.435e+03,2.791e+04,7.408e+04,1.084e+05
156.8,7.217e+03,2.941e+04,7.932e+04,1.160e+05
158.3,7.846e+03,3.216e+04,8.533e+04,1.253e+05
159.7,7.686e+03,3.328e+04,9.125e+04,1.322e+05
161.2,8.276e+03,3.365e+04,9.408e+04,1.360e+05
162.7,9.041e+03,3.688e+04,1.005e+05,1.464e+05
164.2,1.041e+04,4.016e+04,1.087e+05,1.593e+05
165.7,9.277e+03,4.181e+04,1.146e+05,1.657e+05
167.2,9.191e+03,4.329e+04,1.182e+05,1.707e+05
168.7,1.042e+04,4.937e+04,1.257e+05,1.855e+05
170.2,1.228e+04,5.630e+04,1.334e+05,2.020e+05
171.7,1.452e+04,6.314e+04,1.348e+05,2.124e+05
173.2,1.788e+04,7.185e+04,1.429e+05,2.326e+05
174.7,1.847e+04,7.958e+04,1.547e+05,2.528e+05
176.2,1.895e+04,8.494e+04,1.595e+05,2.634e+05
177.7,1.939e+04,9.322e+04,1.693e+05,2.819e+05
179.2,1.790e+04,1.000e+05,1.791e+05,2.970e+05
180.6,1.636e+04,1.029e+05,1.857e+05,3.050e+05
182.1,1.548e+04,9.438e+04,1.758e+05,2.857e+05
183.6,1.309e+04,8.591e+04,1.697e+05,2.687e+05
185.1,1.347e+04,8.288e+04,1.732e+05,2.696e+05
186.6,1.382e+04,7.545e+04,1.670e+05,2.563e+05
188.1,1.342e+04,6.775e+04,1.552e+05,2.364e+05
189.6,1.159e+04,6.195e+04,1.451e+05,2.186e+05
191.1,1.075e+04,5.010e+04,1.308e+05,1.917e+05
192.6,1.063e+04,4.296e+04,1.219e+05,1.755e+05
194.1,1.103e+04,3.991e+04,1.184e+05,1.693e+05
195.6,1.148e+04,3.857e+04,1.216e+05,1.716e+05
197.1,1.266e+04,3.681e+04,1.288e+05,1.783e+05
198.6,1.274e+04,3.352e+04,1.328e+05,1.790e+05
