freq,psd_x,psd_y,psd_z,psd_xyz
65.9,9.084e+03,2.573e+04,7.043e+05,7.391e+05
67.4,8.046e+03,2.619e+04,5.832e+05,6.174e+05
69.0,6.765e+03,2.328e+04,4.929e+05,5.229e+05
70.5,5.371e+03,1.878e+04,3.923e+05,4.165e+05
72.0,4.125e+03,1.546e+04,2.987e+05,3.183e+05
73.6,3.242e+03,1.399e+04,2.365e+05,2.537e+05
75.1,3.259e+03,1.338e+04,2.041e+05,2.207e+05
76.6,3.584e+03,1.379e+04,1.859e+05,2.033e+05
78.2,3.778e+03,1.460e+04,1.689e+05,1.873e+05
79.7,3.592e+03,1.505e+04,1.504e+05,1.690e+05
81.2,3.366e+03,1.527e+04,1.333e+05,1.519e+05
82.8,2.926e+03,1.456e+04,1.176e+05,1.351e+05
84.3,2.852e+03,1.484e+04,1.151e+05,1.327e+05
85.8,3.444e+03,1.684e+04,1.261e+05,1.464e+05
87.4,4.644e+03,1.952e+04,1.447e+05,1.688e+05
88.9,6.320e+03,2.257e+04,1.647e+05,1.936e+05
90.4,7.903e+03,2.551e+04,1.783e+05,2.117e+05
92.0,9.276e+03,2.764e+04,1.814e+05,2.183e+05
93.5,1.044e+04,2.915e+04,1.743e+05,2.139e+05
95.0,1.128e+04,2.977e+04,1.565e+05,1.976e+05
96.6,1.188e+04,2.989e+04,1.368e+05,1.785e+05
98.1,1.235e+04,3.158e+04,1.272e+05,1.711e+05
99.6,1.363e+04,3.550e+04,1.244e+05,1.736e+05
101.2,1.536e+04,4.097e+04,1.244e+05,1.807e+05
102.7,1.622e+04,4.503e+04,1.234e+05,1.846e+05
104.2,1.529e+04,4.371e+04,1.143e+05,1.733e+05
105.8,1.276e+04,3.847e+04,1.018e+05,1.530e+05
107.3,1.134e+04,3.727e+04,1.044e+05,1.530e+05
108.8,1.367e+04,4.199e+04,1.215e+05,1.772e+05
110.4,1.989e+04,5.523e+04,1.364e+05,2.115e+05
111.9,2.167e+04,6.179e+04,1.403e+05,2.238e+05
113.4,1.846e+04,5.484e+04,1.385e+05,2.118e+05
115.0,1.423e+04,4.373e+04,1.351e+05,1.931e+05
116.5,1.193e+04,3.622e+04,1.351e+05,1.833e+05
118.0,1.231e+04,3.514e+04,1.409e+05,1.883e+05
119.6,1.383e+04,3.939e+04,1.486e+05,2.018e+05
121.1,1.486e+04,4.578e+04,1.582e+05,2.188e+05
122.6,1.490e+04,4.867e+04,1.629e+05,2.265e+05
124.2,1.539e+04,5.288e+04,1.714e+05,2.396e+05
125.7,1.669e+04,6.162e+04,1.845e+05,2.628e+05
127.2,1.763e+04,7.211e+04,1.971e+05,2.868e+05
128.8,1.803e+04,7.757e+04,2.030e+05,2.986e+05
130.3,1.874e+04,8.310e+04,2.084e+05,3.102e+05
131.8,1.909e+04,8.719e+04,2.025e+05,3.088e+05
133.4,9.257e+03,4.280e+04,9.350e+04,1.456e+05
134.9,1.885e+03,7.513e+03,1.544e+04,2.484e+04
136.4,1.611e+03,6.083e+03,1.265e+04,2.035e+04
138.0,1.745e+03,6.571e+03,1.419e+04,2.251e+04
139.5,1.980e+03,7.152e+03,1.635e+04,2.548e+04
141.0,2.333e+03,7.800e+03,1.876e+04,2.890e+04
142.6,2.352e+03,8.230e+03,2.029e+04,3.087e+04
144.1,2.393e+03,8.983e+03,2.177e+04,3.315e+04
145.6,2.503e+03,1.006e+04,2.394e+04,3.650e+04
147.2,2.733e+03,1.127e+04,2.695e+04,4.096e+04
148.7,3.279e+03,1.219e+04,3.139e+04,4.686e+04
150.2,3.997e+03,1.400e+04,3.726e+04,5.525e+04
151.8,4.332e+03,1.549e+04,4.107e+04,6.089e+04
153.3,4.528e+03,1.690e+04,4.501e+04,6.644e+04
154.8,4.945e+03,1.895e+04,4.951e+04,7.341e+04
156.3,5.333e+03,2.107e+04,5.528e+04,8.169e+04
157.9,6.071e+03,2.430e+04,6.314e+04,9.351e+04
159.4,6.516e+03,2.758e+04,7.037e+04,1.045e+05
160.9,6.975e+03,3.045e+04,7.557e+04,1.130e+05
162.5,7.332e+03,3.227e+04,7.932e+04,1.189e+05
164.0,7.628e+03,3.466e+04,8.666e+04,1.290e+05
165.5,7.663e+03,3.824e+04,9.480e+04,1.407e+05
167.1,8.522e+03,4.205e+04,1.025e+05,1.531e+05
168.6,9.885e+03,4.672e+04,1.156e+05,1.722e+05
170.1,1.063e+04,5.306e+04,1.219e+05,1.856e+05
171.7,1.131e+04,5.802e+04,1.204e+05,1.897e+05
173.2,1.163e+04,5.827e+04,1.129e+05,1.828e+05
174.7,1.197e+04,6.079e+04,1.126e+05,1.853e+05
176.3,1.147e+04,6.288e+04,1.159e+05,1.902e+05
177.8,1.057e+04,6.301e+04,1.160e+05,1.895e+05
179.3,1.005e+04,6.330e+04,1.160e+05,1.894e+05
180.9,9.461e+03,6.003e+04,1.153e+05,1.848e+05
182.4,1.003e+04,5.718e+04,1.179e+05,1.851e+05
183.9,1.019e+04,5.627e+04,1.167e+05,1.831e+05
185.5,8.761e+03,5.328e+04,1.151e+05,1.771e+05
187.0,6.883e+03,5.032e+04,1.144e+05,1.716e+05
188.5,5.980e+03,4.793e+04,1.101e+05,1.640e+05
190.1,5.715e+03,4.354e+04,1.044e+05,1.536e+05
191.6,5.004e+03,3.962e+04,9.825e+04,1.429e+05
193.1,4.192e+03,3.450e+04,8.966e+04,1.284e+05
194.7,3.728e+03,3.019e+04,8.307e+04,1.170e+05
196.2,3.593e+03,2.688e+04,7.910e+04,1.096e+05
197.7,3.176e+03,2.295e+04,7.245e+04,9.858e+04
199.3,3.035e+03,1.966e+04,6.728e+04,8.998e+04
