freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.018e+01,3.890e+01,3.696e+02,4.787e+02
1.5,3.234e+02,9.403e+01,2.234e+02,6.409e+02
3.1,3.690e+02,9.155e+01,5.223e+01,5.128e+02
4.6,3.514e+02,1.191e+02,3.279e+02,7.984e+02
6.1,2.815e+02,1.713e+02,1.128e+03,1.581e+03
7.7,2.795e+02,1.560e+02,1.849e+03,2.285e+03
9.2,3.130e+02,1.373e+02,2.655e+03,3.105e+03
10.7,3.187e+02,1.351e+02,3.611e+03,4.065e+03
12.3,3.128e+02,1.204e+02,4.771e+03,5.205e+03
13.8,2.959e+02,1.072e+02,6.165e+03,6.568e+03
15.3,3.136e+02,1.129e+02,7.801e+03,8.228e+03
16.9,3.034e+02,1.084e+02,9.941e+03,1.035e+04
18.4,3.078e+02,1.142e+02,1.304e+04,1.346e+04
19.9,3.849e+02,1.261e+02,1.669e+04,1.720e+04
21.5,3.710e+02,1.393e+02,1.998e+04,2.050e+04
23.0,3.395e+02,1.542e+02,2.194e+04,2.243e+04
24.5,4.471e+02,1.379e+02,2.355e+04,2.413e+04
26.1,4.050e+02,1.397e+02,2.658e+04,2.712e+04
27.6,3.745e+02,1.964e+02,3.105e+04,3.162e+04
29.1,3.874e+02,3.646e+02,3.647e+04,3.722e+04
30.7,4.026e+02,5.483e+02,4.271e+04,4.366e+04
32.2,2.890e+02,5.391e+02,4.880e+04,4.963e+04
33.7,2.593e+02,4.927e+02,5.609e+04,5.684e+04
35.3,3.706e+02,6.100e+02,6.613e+04,6.711e+04
36.8,4.294e+02,1.027e+03,7.800e+04,7.946e+04
38.3,4.810e+02,1.570e+03,8.990e+04,9.195e+04
39.9,5.116e+02,2.201e+03,1.002e+05,1.029e+05
41.4,5.344e+02,3.273e+03,1.169e+05,1.207e+05
42.9,5.912e+02,4.755e+03,1.387e+05,1.441e+05
44.5,7.040e+02,5.274e+03,1.553e+05,1.613e+05
46.0,7.416e+02,6.600e+03,1.870e+05,1.943e+05
47.5,7.835e+02,9.608e+03,2.338e+05,2.442e+05
49.1,9.825e+02,1.318e+04,2.903e+05,3.045e+05
50.6,1.443e+03,1.756e+04,3.636e+05,3.826e+05
52.1,2.909e+03,2.485e+04,4.658e+05,4.936e+05
53.6,5.403e+03,3.577e+04,5.994e+05,6.406e+05
55.2,6.784e+03,4.805e+04,7.486e+05,8.035e+05
56.7,6.190e+03,5.875e+04,8.910e+05,9.559e+05
58.2,6.588e+03,6.256e+04,9.852e+05,1.054e+06
59.8,8.650e+03,6.224e+04,1.027e+06,1.098e+06
61.3,1.005e+04,5.309e+04,9.996e+05,1.063e+06
62.8,1.012e+04,3.711e+04,9.340e+05,9.812e+05
64.4,9.696e+03,2.697e+04,8.303e+05,8.670e+05
